wavelengths,reflectance
350.0,0.156114
360.0,0.136229
371.0,0.119193
382.0,0.112424
393.0,0.107971
404.0,0.103344
414.0,0.099054
425.0,0.095901
436.0,0.093038
447.0,0.091277
458.0,0.089994
468.0,0.089469
479.0,0.088676
490.0,0.088073
501.0,0.088158
512.0,0.09079
522.0,0.099721
533.0,0.111488
544.0,0.115321
555.0,0.115674
566.0,0.106949
576.0,0.097106
587.0,0.09171
598.0,0.089413
609.0,0.087398
620.0,0.085007
630.0,0.084245
641.0,0.082815
652.0,0.081562
663.0,0.081576
674.0,0.083929
684.0,0.089112
695.0,0.098222
706.0,0.162467
717.0,0.285779
728.0,0.453355
738.0,0.593069
749.0,0.687497
760.0,0.727354
771.0,0.741215
782.0,0.747611
792.0,0.752077
803.0,0.756611
814.0,0.760811
825.0,0.764829
836.0,0.768107
846.0,0.771586
857.0,0.775093
868.0,0.778401
879.0,0.7815
890.0,0.784693
901.0,0.787646
911.0,0.789993
922.0,0.791799
933.0,0.791159
944.0,0.787861
955.0,0.779464
965.0,0.774614
976.0,0.776145
987.0,0.780796
998.0,0.787689
1009.0,0.792664
1019.0,0.79975
1030.0,0.807115
1041.0,0.812881
1052.0,0.817665
1063.0,0.821705
1073.0,0.824565
1084.0,0.826577
1095.0,0.826648
1106.0,0.825424
1117.0,0.823968
1127.0,0.820006
1138.0,0.802251
1149.0,0.770072
1160.0,0.752314
1171.0,0.74917
1181.0,0.748658
1192.0,0.747469
1203.0,0.750136
1214.0,0.755619
1225.0,0.762596
1235.0,0.768459
1246.0,0.774532
1257.0,0.778705
1268.0,0.781209
1279.0,0.780256
1289.0,0.776875
1300.0,0.768697
1311.0,0.753553
1322.0,0.729657
1333.0,0.698485
1343.0,0.6682
1354.0,0.638699
1365.0,0.60983
1376.0,0.56048
1387.0,0.462141
1397.0,0.347858
1408.0,0.258967
1419.0,0.217773
1430.0,0.201261
1441.0,0.195975
1452.0,0.196253
1462.0,0.199619
1473.0,0.211227
1484.0,0.230012
1495.0,0.252345
1506.0,0.277035
1516.0,0.300517
1527.0,0.326467
1538.0,0.351708
1549.0,0.375728
1560.0,0.398418
1570.0,0.417184
1581.0,0.436028
1592.0,0.453446
1603.0,0.469475
1614.0,0.483569
1624.0,0.494337
1635.0,0.504825
1646.0,0.513786
1657.0,0.519249
1668.0,0.520638
1678.0,0.518708
1689.0,0.511523
1700.0,0.504094
1711.0,0.495298
1722.0,0.485857
1732.0,0.475801
1743.0,0.464395
1754.0,0.448805
1765.0,0.433697
1776.0,0.422438
1786.0,0.417151
1797.0,0.415811
1808.0,0.411417
1819.0,0.413305
1830.0,0.411061
1840.0,0.403138
1851.0,0.380142
1862.0,0.331479
1873.0,0.250755
1884.0,0.160582
1894.0,0.105323
1905.0,0.083325
1916.0,0.077718
1927.0,0.076213
1938.0,0.07663
1948.0,0.078357
1959.0,0.081418
1970.0,0.085702
1981.0,0.091049
1992.0,0.09803
2003.0,0.105871
2013.0,0.113546
2024.0,0.122404
2035.0,0.130985
2046.0,0.13922
2057.0,0.147643
2067.0,0.156282
2078.0,0.165895
2089.0,0.175496
2100.0,0.185302
2111.0,0.195183
2121.0,0.203894
2132.0,0.212425
2143.0,0.218868
2154.0,0.224797
2165.0,0.228375
2175.0,0.231648
2186.0,0.236006
2197.0,0.23982
2208.0,0.242669
2219.0,0.244064
2229.0,0.242867
2240.0,0.238446
2251.0,0.229986
2262.0,0.218789
2273.0,0.208421
2283.0,0.201161
2294.0,0.193756
2305.0,0.185063
2316.0,0.17798
2327.0,0.171802
2337.0,0.164924
2348.0,0.156873
2359.0,0.150702
2370.0,0.144467
2381.0,0.137204
2391.0,0.130783
2402.0,0.124432
2413.0,0.117442
2424.0,0.111516
2435.0,0.10628
2445.0,0.102338
2456.0,0.096043
2467.0,0.090839
2478.0,0.088241
2489.0,0.085137
2500.0,0.084437
